French,English
partie,part
police,police
pensais,thought
aide,help
frère,brother
laisser,let
car,because
laisse,leash
eux,them
ville,city
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
aucune,any
place,square
compris,understood
savais,knew
attention,Warning
pourrais,could
leurs,their
donné,given
endroit,place
yeux,eyes
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
point,point
venu,came
suite,after
pardon,sorry
vers,towards
belle,beautiful
aimerais,would like to
enfin,finally
espère,hope
eau,water
arrêter,Stop
compte,account
donne,given
loin,far
fin,end
croire,believe
plutôt,rather
